,Municipio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
83,Santorcaz,3/24/2024,67.6,°F,56.1,°F,45.7,°F,52.3,°F,44.6,°F,38.7,°F,91,%,67,%,36,%,9.6,mph,0.9,mph,0.0,mph,29.98,in,29.66,in,0.00,in
84,Santorcaz,3/25/2024,51.3,°F,47.0,°F,40.3,°F,48.9,°F,42.8,°F,35.8,°F,99,%,86,%,64,%,7.6,mph,0.9,mph,0.0,mph,29.67,in,29.26,in,0.25,in
85,Santorcaz,3/26/2024,46.4,°F,37.2,°F,31.3,°F,35.8,°F,29.7,°F,23.7,°F,99,%,76,%,46,%,8.1,mph,1.2,mph,0.0,mph,29.30,in,29.23,in,0.01,in
86,Santorcaz,3/27/2024,57.6,°F,43.7,°F,34.0,°F,46.0,°F,37.0,°F,30.0,°F,98,%,79,%,48,%,12.3,mph,2.3,mph,0.0,mph,29.37,in,29.25,in,0.30,in
87,Santorcaz,3/28/2024,53.6,°F,45.0,°F,38.8,°F,46.8,°F,39.7,°F,29.8,°F,97,%,82,%,57,%,21.3,mph,5.0,mph,0.0,mph,29.49,in,29.33,in,0.13,in
88,Santorcaz,3/29/2024,46.8,°F,40.3,°F,34.0,°F,45.0,°F,39.1,°F,32.0,°F,99,%,96,%,82,%,13.2,mph,2.6,mph,0.0,mph,29.41,in,29.31,in,0.64,in
89,Santorcaz,3/30/2024,44.2,°F,38.0,°F,33.3,°F,40.8,°F,36.9,°F,32.9,°F,99,%,96,%,77,%,12.3,mph,2.9,mph,0.0,mph,29.41,in,29.23,in,0.60,in
90,Santorcaz,3/31/2024,45.7,°F,37.0,°F,32.2,°F,40.6,°F,34.8,°F,31.8,°F,99,%,92,%,66,%,10.7,mph,1.4,mph,0.0,mph,29.53,in,29.23,in,0.32,in
91,Santorcaz,4/1/2024,53.4,°F,39.4,°F,32.5,°F,40.8,°F,34.6,°F,31.8,°F,99,%,85,%,48,%,7.4,mph,0.9,mph,0.0,mph,29.92,in,29.53,in,0.02,in
92,Santorcaz,4/2/2024,48.4,°F,40.3,°F,32.4,°F,43.2,°F,36.5,°F,30.2,°F,99,%,87,%,71,%,11.2,mph,1.4,mph,0.0,mph,29.96,in,29.88,in,0.01,in
93,Santorcaz,4/3/2024,57.9,°F,49.0,°F,41.7,°F,48.7,°F,42.8,°F,38.3,°F,89,%,79,%,65,%,12.3,mph,2.1,mph,0.0,mph,30.04,in,29.90,in,0.00,in
94,Santorcaz,4/4/2024,61.5,°F,49.8,°F,36.9,°F,50.5,°F,42.9,°F,36.0,°F,97,%,78,%,57,%,12.3,mph,1.4,mph,0.0,mph,30.04,in,29.94,in,0.00,in
95,Santorcaz,4/5/2024,64.6,°F,54.9,°F,43.9,°F,50.0,°F,44.2,°F,38.7,°F,92,%,69,%,44,%,12.5,mph,1.6,mph,0.0,mph,29.99,in,29.89,in,0.00,in
96,Santorcaz,4/6/2024,65.3,°F,57.9,°F,48.6,°F,46.8,°F,42.2,°F,36.9,°F,76,%,57,%,41,%,13.7,mph,1.7,mph,0.0,mph,29.96,in,29.84,in,0.00,in
97,Santorcaz,4/7/2024,66.2,°F,56.7,°F,48.6,°F,54.0,°F,46.1,°F,40.8,°F,83,%,68,%,53,%,14.8,mph,1.5,mph,0.0,mph,29.96,in,29.83,in,0.00,in
98,Santorcaz,4/8/2024,57.6,°F,49.2,°F,37.8,°F,47.8,°F,42.3,°F,34.5,°F,91,%,78,%,57,%,13.2,mph,2.4,mph,0.0,mph,29.98,in,29.77,in,0.11,in
99,Santorcaz,4/9/2024,52.2,°F,42.0,°F,33.3,°F,36.9,°F,32.2,°F,27.0,°F,88,%,69,%,48,%,13.2,mph,2.6,mph,0.0,mph,30.27,in,29.97,in,0.00,in
100,Santorcaz,4/10/2024,61.2,°F,48.4,°F,34.5,°F,45.3,°F,37.2,°F,28.9,°F,86,%,66,%,45,%,14.1,mph,2.6,mph,0.0,mph,30.29,in,30.21,in,0.00,in
101,Santorcaz,4/11/2024,69.8,°F,59.6,°F,49.1,°F,51.1,°F,45.4,°F,40.6,°F,75,%,60,%,45,%,15.9,mph,5.4,mph,0.0,mph,30.31,in,30.21,in,0.00,in
102,Santorcaz,4/12/2024,72.7,°F,58.8,°F,42.8,°F,55.9,°F,45.5,°F,36.7,°F,83,%,62,%,43,%,6.9,mph,0.8,mph,0.0,mph,30.34,in,30.26,in,0.00,in
103,Santorcaz,4/13/2024,76.1,°F,62.2,°F,45.1,°F,54.9,°F,44.1,°F,38.3,°F,86,%,55,%,27,%,7.6,mph,0.9,mph,0.0,mph,30.30,in,30.20,in,0.00,in
104,Santorcaz,4/14/2024,74.7,°F,62.3,°F,46.2,°F,55.9,°F,45.1,°F,38.7,°F,80,%,55,%,34,%,8.3,mph,0.9,mph,0.0,mph,30.23,in,30.10,in,0.00,in
105,Santorcaz,4/15/2024,73.0,°F,63.3,°F,52.9,°F,56.7,°F,48.3,°F,41.0,°F,76,%,59,%,35,%,12.5,mph,1.9,mph,0.0,mph,30.13,in,30.03,in,0.00,in
106,Santorcaz,4/16/2024,67.5,°F,57.9,°F,50.0,°F,48.0,°F,40.5,°F,32.0,°F,69,%,53,%,37,%,12.3,mph,3.2,mph,0.0,mph,30.07,in,29.93,in,0.00,in
107,Santorcaz,4/17/2024,62.6,°F,51.3,°F,38.5,°F,42.8,°F,36.5,°F,28.2,°F,83,%,58,%,32,%,14.3,mph,4.7,mph,0.0,mph,29.95,in,29.88,in,0.00,in
108,Santorcaz,4/18/2024,62.8,°F,51.6,°F,37.6,°F,41.7,°F,32.8,°F,23.9,°F,72,%,50,%,30,%,12.3,mph,2.4,mph,0.0,mph,30.01,in,29.89,in,0.00,in
109,Santorcaz,4/19/2024,65.7,°F,50.4,°F,33.4,°F,47.3,°F,37.6,°F,26.2,°F,93,%,64,%,31,%,5.8,mph,0.7,mph,0.0,mph,30.04,in,29.93,in,0.00,in
110,Santorcaz,4/20/2024,70.9,°F,56.2,°F,40.5,°F,48.9,°F,37.1,°F,25.5,°F,85,%,53,%,23,%,6.0,mph,0.8,mph,0.0,mph,29.96,in,29.83,in,0.00,in
111,Santorcaz,4/21/2024,67.8,°F,54.2,°F,37.9,°F,46.9,°F,32.4,°F,21.7,°F,72,%,45,%,24,%,11.0,mph,1.7,mph,0.0,mph,29.92,in,29.84,in,0.00,in
